語録,使用方法,備考,
は？（困惑）,金泰均,困ったときに。,TKNUCの無茶な命令に困惑していたときのセリフ。
はぁぁあああっ・・・！！（畏怖）,横井警備員,たまげたなぁの上位互換。,ケツデカピングーで短髪ピンガが漏らした小便を吸い上げたときに使われた。
ハーーーッ…(クソデカタメ息),関西クレーマー(カーリー)・糞喰漢スタッフ,呆れたときに。,カーリーのときは「あ　ほ　く　さ」と続く。後者はじゅんぺいのガバガバ演技に呆れて発せられたもの。
ハッーイッタ！,POPO,絶頂したときに。,"DB, KYNが淫夢最前線だったときに流行った。"
はーつっかえ,関西クレーマー,相手や運営が使えないと感じたとき。,本来のセリフはおそらく「使えん」だと思われる。単純に「つっかえ！」だけだったり、「ほんまつっかえんわ～」となることも。後者は実際のセリフ。
○○は××みたいなもんやし,関西クレーマー,○○と××が似ているときに。,元ネタは「中野くんはファミリーみたいなもんやし」
流行らせコラ!,ホリ・トオル,ステマしたい時に,「離せコラ」の空耳。「○○流行らせコラ！」の形で使われることが多い。
非常に○○で、非常に××だ,我衆院,何かを絶賛したいときに。,(大嘘)
ひでしね,－,ひでに対する、淫夢民の直球かつ的確なコメント。,対義語：ひでしねっていうのはぜんぶうそ、ほんとはみんなひでのことがだいすきだよ
微レ存,－,微粒子レベルで存在する可能性を感じ取った時に,初出は2chの就職板内の日本ペイントスレである。当初は①中田の口内には、TDN・HTN・TNOKのチンカスが現在も分子レベルで残留している･･･？　であり、そこから②中田の口内には三浦・中村・TNOKの恥垢が今なお微粒子レベルで残留している…？！→③HTNの陰茎にはTDNの大便が今なお微粒子レベルで残留している･･･？！とハッテンしていき現在に至る。
ファッションホモ,－,淫夢を無修正で見てないのに語録を使う人,本来はゲイアピールを行ってBL愛好者である腐女子を狙う男性の事を指す
僕がさっき、食べちゃいました,第二のいなり男,つまみ食いしたことを告白するときに。,食べたぁ！？（驚愕）
僕は違います（半ギレ）,清野大地,意見や考えが食い違うときに。,インタビューで「オナニーを先輩から教わったのか」という質問に対する発言。別のビデオでは「友達に教わった」と発言している。ホモは嘘つき。
僕は馬鹿じゃない(決意),MNR,自分を馬鹿と認めたくないときに。,
ホナニー,SGW,「オナニー」と同義。,"半笑いで言っている(＝hの音が混ざり、""h""+""オ""＝""ホ"")為に、「ホナニー」と聞こえてしまう。"
ほんとすこ,－,本当に好きと表明したい時,「すこ」は「すき」のタイプミス。ニコ動のコメント由来か。対義語は「ほんときらい」「ほんとひで」
ほんとひで,－,酷いと思った時に,ひでぐらい嫌いという意味。また「ひで」＝「ひでえ(酷え)」に通じる？　「ひで」の後に「たるとまひろじゅんぺいゆうさく平野源五郎敏感ふとまら君うんち提案おじさん」と続くことも。長すぎィ！
ほんへ,－,「本編」と同義。,タイプミスから派生。
また君か〇〇するなぁ,野獣父,常連さんを歓迎するとき、あるいは同じような騒動を起こす困った人を指摘するときに,また君か困るなぁ…の空耳から派生。
マ゜ッ!,TKGW,過酷なペナルティで発狂した際の悲鳴。,固有名詞の一部として使われることが多い。
申し訳ないが◯◯◯はNG,変態糞土方,触れてほしくない話題を止めたい時に,同氏が書き記した『せんずり』の一文「申し訳ないが昼はNG」の改変である、申し訳ないがレスリング厨はNGから。また、マナーの悪い一部の淫夢厨対策として申し訳ないが淫夢厨はNGというのも存在する。
もう始まってる！,ホモガキ,何かが始まっているときに。,よく動画の最初の方で書きこまれる。
野獣邸,－,COATコーポレーション本社の通称。,野獣先輩がこ↑こ↓と指差した自宅(という設定)。
やったぜ。,変態糞親父,やったと確信した時に。,最近ではBB先輩劇場で本社を爆破したときにコメントとして出てくる。
やべえよ…やべえよ…,DB,やばいと感じた時に,真夏の夜の淫夢本編の記念すべき最初のセリフ(舌打ちを除く)。
やっちゃうよ？やっちゃうよ！？,清野大地,相手にちかえし・下剋上をしたいときに。,後輩ECZNのナニを見て発言した言葉。
やめてくれよ…(絶望),KMR,絶望的なシーンに。,野獣先輩とMURに無理やり犯されたKMRの心の叫び。
やめてさしあげろ,(SNJ),何かを制止させたい時。,同氏の「先生がビンビンでいらっしゃる。咥えて差し上げろ」の改変。
やめろォ(建前)ナイスゥ(本音),ホリ・トオル,いわゆるツンデレ発言ととらえられる。,本音と建前が逆になったり、どっちもやめろォになったりする。「ナイスゥ」の部分はおそらく「何する」の空耳と思われる。
ゆるして,課長,許しを請いたいときに,類義語として、現場監督の「許して亭ゆるして」がある。
わし(53),変態糞土方,一人称。,ドイツ語ではich(53)
笑っちゃうんすよね,肉体派おじゃる丸,笑えるときが来たとき。,KBTITの「笑っちゃうぜ！」と被りがち。笑っちゃうんすよね
ん?今何でもするって言ったよね?,野獣父,MYNの「すいません許してください!何でもしますから!」を言質に取った返し,「何でも」が入ってるだけで使われることも。ホモは適当。
(クソデカため息),あ　ほ　く　さい時に,関西クレーマーの「ハァ～・・・（クソデカため息）あほくさ」から。「糞で固めイキ」と書かれることも。ｳﾞｫｴ!,
(小並感),あえて子供っぽく感想を述べたい際に,TNOKの「最後が気持ちよかった」という感想があまりにも子供っぽかったので、当初は(小学生並みの感想)と付けられていた。時が経つにつれて「小学生並みの感想」と略されるようになった。粉ミカンとも,
(～とは言ってない),文字通りの用法,TNOKの「おう、考えてやるよ」から　そのつもりがない場合に、どうぞ,
(迫真),迫真的な演出をしたい時に,野獣先輩の演技力の高さから,
(便乗),何かに便乗したい時に,MURの「そうだよ（便乗）」から,
(察し),あっ…,野獣先輩のインタビューにおいての「あっ…（察し）」から,
(確信),,ポイテーロ調教中のKBTITの発言「堕ちたな（確信）」から,
(困惑),,虐待おじさんの「えぇ…（困惑）」「自分から入っていくのか…（困惑）」から,
(大嘘),,『ホモは嘘つき』,
(絶望),,『デデドン（絶望）』,
(真理),,,
(正論),,KMRの「なんで見る必要なんかあるんですか（正論）」から,
(哲学),,ポイテーロの「ラグビーってなんだよ（哲学）」から。レスリングに突うずるっモノもある,
(戒め),,「してはいけない（戒め）」から,
(良心),（無関心）とは逆に相手を思いやる時に,「そんなことしなくていいから（良心）」から,
(無関心),興味・関心がない時に,TRNの「そう…（無関心）」から,
(使命感),何かをしなければならない時に,ひでの「はやく帰って宿題しなきゃ（使命感）」,
(半ギレ),少し頭にきた時に,KYNの「僕は違います（半ギレ）」から,
(棒読み),(迫真)とは逆に演技力が低い時に,淫夢2章のセリフが棒読みだったことから。RU姉貴の演技にもつけられる。クッキー☆が淫夢厨に囲まれることとなった所以,
(すっとぼけ),白々しく質問したり答えたりする時に,,
